advertiser_combination,campaign_id_combination,campaign_name_combination,advertiser_count,unique_users
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""1002"", ""2002"", ""3001"", ""4001"", ""4002""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Lançamento"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Gama | Always On""]",4,333
"[""Marca Alpha"", ""Marca Delta"", ""Marca Épsilon""]","[""1001"", ""1002"", ""4002"", ""5001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Delta | Retargeting"", ""Épsilon | Awareness""]",3,333
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta""]","[""1001"", ""2002"", ""4001""]","[""Alpha | Awareness | Q3"", ""Beta | Lançamento"", ""Delta | Black Friday""]",3,296
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1002"", ""2002"", ""3001"", ""4001"", ""4002""]","[""Alpha | Remarketing"", ""Beta | Lançamento"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Gama | Always On""]",4,296
"[""Marca Alpha"", ""Marca Delta"", ""Marca Épsilon""]","[""1001"", ""1002"", ""4001"", ""5001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Delta | Black Friday"", ""Épsilon | Awareness""]",3,296
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta""]","[""1002"", ""2001"", ""2002"", ""4001""]","[""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Black Friday""]",3,296
"[""Marca Beta"", ""Marca Delta"", ""Marca Épsilon""]","[""2001"", ""2002"", ""4001"", ""4002"", ""5001""]","[""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Épsilon | Awareness""]",3,296
"[""Marca Alpha"", ""Marca Gama"", ""Marca Épsilon""]","[""1002"", ""3001"", ""5001""]","[""Alpha | Remarketing"", ""Gama | Always On"", ""Épsilon | Awareness""]",3,296
"[""Marca Gama"", ""Marca Zeta"", ""Marca Épsilon""]","[""3001"", ""5001"", ""6001""]","[""Gama | Always On"", ""Zeta | Performance"", ""Épsilon | Awareness""]",3,296
"[""Marca Alpha"", ""Marca Gama"", ""Marca Zeta""]","[""1001"", ""3001"", ""6001""]","[""Alpha | Awareness | Q3"", ""Gama | Always On"", ""Zeta | Performance""]",3,259
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""1002"", ""2001"", ""2002"", ""3001"", ""4001"", ""4002""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Gama | Always On""]",4,259
"[""Marca Alpha"", ""Marca Delta"", ""Marca Épsilon""]","[""1002"", ""4001"", ""4002"", ""5001""]","[""Alpha | Remarketing"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Épsilon | Awareness""]",3,259
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""2002"", ""3001"", ""4002""]","[""Alpha | Awareness | Q3"", ""Beta | Lançamento"", ""Delta | Retargeting"", ""Gama | Always On""]",4,259
"[""Marca Alpha"", ""Marca Beta"", ""Marca Zeta""]","[""1001"", ""2002"", ""6001""]","[""Alpha | Awareness | Q3"", ""Beta | Lançamento"", ""Zeta | Performance""]",3,259
"[""Marca Alpha"", ""Marca Delta"", ""Marca Épsilon""]","[""1002"", ""4002"", ""5001""]","[""Alpha | Remarketing"", ""Delta | Retargeting"", ""Épsilon | Awareness""]",3,222
"[""Marca Alpha"", ""Marca Beta"", ""Marca Zeta""]","[""1002"", ""2001"", ""6001""]","[""Alpha | Remarketing"", ""Beta | Prospecting"", ""Zeta | Performance""]",3,222
"[""Marca Alpha"", ""Marca Delta"", ""Marca Épsilon""]","[""1001"", ""1002"", ""4001"", ""4002"", ""5001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Épsilon | Awareness""]",3,222
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""1002"", ""2001"", ""3001"", ""4001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Gama | Always On""]",4,222
"[""Marca Beta"", ""Marca Gama"", ""Marca Zeta""]","[""2001"", ""3001"", ""6001""]","[""Beta | Prospecting"", ""Gama | Always On"", ""Zeta | Performance""]",3,222
"[""Marca Alpha"", ""Marca Delta"", ""Marca Épsilon""]","[""1001"", ""4001"", ""5001""]","[""Alpha | Awareness | Q3"", ""Delta | Black Friday"", ""Épsilon | Awareness""]",3,222
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1002"", ""2001"", ""2002"", ""3001"", ""4002""]","[""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Retargeting"", ""Gama | Always On""]",4,222
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta""]","[""1001"", ""1002"", ""2001"", ""4001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Prospecting"", ""Delta | Black Friday""]",3,222
"[""Marca Beta"", ""Marca Delta"", ""Marca Épsilon""]","[""2001"", ""2002"", ""4001"", ""5001""]","[""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Épsilon | Awareness""]",3,222
"[""Marca Beta"", ""Marca Gama"", ""Marca Épsilon""]","[""2002"", ""3001"", ""5001""]","[""Beta | Lançamento"", ""Gama | Always On"", ""Épsilon | Awareness""]",3,222
"[""Marca Alpha"", ""Marca Beta"", ""Marca Zeta""]","[""1002"", ""2002"", ""6001""]","[""Alpha | Remarketing"", ""Beta | Lançamento"", ""Zeta | Performance""]",3,222
"[""Marca Beta"", ""Marca Delta"", ""Marca Épsilon""]","[""2002"", ""4001"", ""5001""]","[""Beta | Lançamento"", ""Delta | Black Friday"", ""Épsilon | Awareness""]",3,222
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""2001"", ""2002"", ""3001"", ""4001""]","[""Alpha | Awareness | Q3"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Gama | Always On""]",4,222
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta""]","[""1002"", ""2002"", ""4001""]","[""Alpha | Remarketing"", ""Beta | Lançamento"", ""Delta | Black Friday""]",3,222
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""2001"", ""2002"", ""3001"", ""4002""]","[""Alpha | Awareness | Q3"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Retargeting"", ""Gama | Always On""]",4,222
"[""Marca Beta"", ""Marca Zeta"", ""Marca Épsilon""]","[""2001"", ""2002"", ""5001"", ""6001""]","[""Beta | Lançamento"", ""Beta | Prospecting"", ""Zeta | Performance"", ""Épsilon | Awareness""]",3,185
"[""Marca Beta"", ""Marca Delta"", ""Marca Épsilon""]","[""2002"", ""4001"", ""4002"", ""5001""]","[""Beta | Lançamento"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Épsilon | Awareness""]",3,185
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta""]","[""1001"", ""2002"", ""4002""]","[""Alpha | Awareness | Q3"", ""Beta | Lançamento"", ""Delta | Retargeting""]",3,185
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""1002"", ""2001"", ""2002"", ""3001"", ""4001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Gama | Always On""]",4,185
"[""Marca Alpha"", ""Marca Delta"", ""Marca Zeta""]","[""1001"", ""1002"", ""4002"", ""6001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Delta | Retargeting"", ""Zeta | Performance""]",3,185
"[""Marca Beta"", ""Marca Zeta"", ""Marca Épsilon""]","[""2001"", ""5001"", ""6001""]","[""Beta | Prospecting"", ""Zeta | Performance"", ""Épsilon | Awareness""]",3,185
"[""Marca Alpha"", ""Marca Zeta"", ""Marca Épsilon""]","[""1001"", ""1002"", ""5001"", ""6001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Zeta | Performance"", ""Épsilon | Awareness""]",3,185
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""2001"", ""2002"", ""3001"", ""4001"", ""4002""]","[""Alpha | Awareness | Q3"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Gama | Always On""]",4,185
"[""Marca Alpha"", ""Marca Delta"", ""Marca Gama"", ""Marca Épsilon""]","[""1001"", ""1002"", ""3001"", ""4001"", ""4002"", ""5001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Gama | Always On"", ""Épsilon | Awareness""]",4,185
"[""Marca Beta"", ""Marca Gama"", ""Marca Zeta""]","[""2002"", ""3001"", ""6001""]","[""Beta | Lançamento"", ""Gama | Always On"", ""Zeta | Performance""]",3,185
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""1002"", ""2001"", ""2002"", ""3001"", ""4002""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Retargeting"", ""Gama | Always On""]",4,185
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""2001"", ""3001"", ""4001"", ""4002""]","[""Alpha | Awareness | Q3"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Gama | Always On""]",4,148
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1002"", ""2001"", ""2002"", ""3001"", ""4001""]","[""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Gama | Always On""]",4,148
"[""Marca Beta"", ""Marca Delta"", ""Marca Zeta""]","[""2001"", ""2002"", ""4001"", ""4002"", ""6001""]","[""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Zeta | Performance""]",3,148
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""2002"", ""3001"", ""4001"", ""4002""]","[""Alpha | Awareness | Q3"", ""Beta | Lançamento"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Gama | Always On""]",4,148
"[""Marca Alpha"", ""Marca Delta"", ""Marca Zeta""]","[""1001"", ""4002"", ""6001""]","[""Alpha | Awareness | Q3"", ""Delta | Retargeting"", ""Zeta | Performance""]",3,148
"[""Marca Beta"", ""Marca Zeta"", ""Marca Épsilon""]","[""2002"", ""5001"", ""6001""]","[""Beta | Lançamento"", ""Zeta | Performance"", ""Épsilon | Awareness""]",3,148
"[""Marca Delta"", ""Marca Gama"", ""Marca Zeta""]","[""3001"", ""4002"", ""6001""]","[""Delta | Retargeting"", ""Gama | Always On"", ""Zeta | Performance""]",3,148
"[""Marca Beta"", ""Marca Delta"", ""Marca Gama"", ""Marca Épsilon""]","[""2001"", ""2002"", ""3001"", ""4001"", ""4002"", ""5001""]","[""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Gama | Always On"", ""Épsilon | Awareness""]",4,148
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1002"", ""2001"", ""3001"", ""4001""]","[""Alpha | Remarketing"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Gama | Always On""]",4,148
"[""Marca Alpha"", ""Marca Beta"", ""Marca Gama"", ""Marca Épsilon""]","[""1002"", ""2001"", ""2002"", ""3001"", ""5001""]","[""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Gama | Always On"", ""Épsilon | Awareness""]",4,111
"[""Marca Alpha"", ""Marca Zeta"", ""Marca Épsilon""]","[""1002"", ""5001"", ""6001""]","[""Alpha | Remarketing"", ""Zeta | Performance"", ""Épsilon | Awareness""]",3,111
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1002"", ""2002"", ""3001"", ""4002""]","[""Alpha | Remarketing"", ""Beta | Lançamento"", ""Delta | Retargeting"", ""Gama | Always On""]",4,111
"[""Marca Alpha"", ""Marca Beta"", ""Marca Gama"", ""Marca Épsilon""]","[""1001"", ""1002"", ""2001"", ""3001"", ""5001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Prospecting"", ""Gama | Always On"", ""Épsilon | Awareness""]",4,111
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1002"", ""2002"", ""3001"", ""4001""]","[""Alpha | Remarketing"", ""Beta | Lançamento"", ""Delta | Black Friday"", ""Gama | Always On""]",4,111
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""1002"", ""2001"", ""3001"", ""4002""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Prospecting"", ""Delta | Retargeting"", ""Gama | Always On""]",4,111
"[""Marca Beta"", ""Marca Delta"", ""Marca Épsilon""]","[""2001"", ""2002"", ""4002"", ""5001""]","[""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Retargeting"", ""Épsilon | Awareness""]",3,111
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1002"", ""2001"", ""3001"", ""4001"", ""4002""]","[""Alpha | Remarketing"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Gama | Always On""]",4,111
"[""Marca Alpha"", ""Marca Delta"", ""Marca Zeta""]","[""1002"", ""4002"", ""6001""]","[""Alpha | Remarketing"", ""Delta | Retargeting"", ""Zeta | Performance""]",3,111
"[""Marca Alpha"", ""Marca Beta"", ""Marca Gama"", ""Marca Zeta""]","[""1001"", ""1002"", ""2001"", ""2002"", ""3001"", ""6001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Gama | Always On"", ""Zeta | Performance""]",4,111
"[""Marca Alpha"", ""Marca Delta"", ""Marca Épsilon""]","[""1001"", ""4002"", ""5001""]","[""Alpha | Awareness | Q3"", ""Delta | Retargeting"", ""Épsilon | Awareness""]",3,111
"[""Marca Beta"", ""Marca Delta"", ""Marca Zeta""]","[""2001"", ""2002"", ""4001"", ""6001""]","[""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Zeta | Performance""]",3,111
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Gama""]","[""1001"", ""1002"", ""2002"", ""3001"", ""4002""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Lançamento"", ""Delta | Retargeting"", ""Gama | Always On""]",4,111
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Zeta""]","[""1001"", ""1002"", ""2001"", ""2002"", ""4001"", ""4002"", ""6001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Zeta | Performance""]",4,111
"[""Marca Alpha"", ""Marca Beta"", ""Marca Gama"", ""Marca Zeta""]","[""1002"", ""2002"", ""3001"", ""6001""]","[""Alpha | Remarketing"", ""Beta | Lançamento"", ""Gama | Always On"", ""Zeta | Performance""]",4,111
"[""Marca Alpha"", ""Marca Beta"", ""Marca Gama"", ""Marca Zeta""]","[""1002"", ""2001"", ""2002"", ""3001"", ""6001""]","[""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Gama | Always On"", ""Zeta | Performance""]",4,111
"[""Marca Alpha"", ""Marca Beta"", ""Marca Gama"", ""Marca Épsilon""]","[""1001"", ""1002"", ""2001"", ""2002"", ""3001"", ""5001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Lançamento"", ""Beta | Prospecting"", ""Gama | Always On"", ""Épsilon | Awareness""]",4,111
"[""Marca Alpha"", ""Marca Beta"", ""Marca Delta"", ""Marca Épsilon""]","[""1001"", ""1002"", ""2001"", ""4001"", ""4002"", ""5001""]","[""Alpha | Awareness | Q3"", ""Alpha | Remarketing"", ""Beta | Prospecting"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Épsilon | Awareness""]",4,111
"[""Marca Beta"", ""Marca Delta"", ""Marca Épsilon""]","[""2001"", ""4001"", ""4002"", ""5001""]","[""Beta | Prospecting"", ""Delta | Black Friday"", ""Delta | Retargeting"", ""Épsilon | Awareness""]",3,111
