amc_template_name,start_date,end_date,path,path_occurrences,impressions,total_cost,users_that_purchased,sales_amount,purchases,user_purchase_rate,ntb_users_that_purchased,ntb_sales_amount,ntb_purchases,ntb_user_percentage,ntb_purchases_percentage,insight1,insight2
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Conversão], [3, SB SOV], [4, SP]]",37,2373,14.986641709582766,1,211.2247,1,0.027,0,81.9559,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, SB], [3, DSP NTB], [4, DSP Awareness], [5, DSP Conversão]]",37,1911,17.10700093003428,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SB SOV], [3, DSP NTB], [4, SP], [5, DSP Conversão], [6, DSP Awareness], [7, SB]]",37,2037,18.736034539624228,2,297.9010,2,0.0541,1,183.0396,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SD], [3, DSP Conversão], [4, SP], [5, DSP Awareness]]",37,3278,45.81438566774037,1,107.1148,1,0.027,0,52.1478,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, DSP NTB], [4, DSP Conversão], [5, SP], [6, SD], [7, SB SOV]]",36,4690,42.82460651338496,1,146.1892,1,0.0278,0,66.7174,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Conversão]]",36,875,7.098064316952451,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Awareness]]",36,608,8.711820128954754,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP Awareness], [3, SP]]",36,528,5.33370335165728,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP NTB], [3, DSP Awareness], [4, SD], [5, DSP Consideração], [6, SB], [7, SP], [8, SB SOV]]",36,5346,60.042010856722875,2,254.4819,2,0.0556,1,116.8455,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Conversão], [3, SB], [4, DSP Awareness]]",35,2686,21.54698297465978,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SP], [3, DSP Awareness], [4, DSP NTB], [5, SB], [6, DSP Conversão]]",35,1972,11.378937574333275,1,218.6862,1,0.0286,0,105.0536,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Awareness], [3, DSP Conversão], [4, DSP NTB], [5, SB]]",35,3345,40.712001831805274,1,177.1623,1,0.0286,1,103.5914,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Awareness], [3, SB]]",34,1880,14.100080985148796,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SB], [3, DSP NTB]]",34,1348,6.1124593171753165,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SP], [3, DSP Awareness], [4, SB]]",34,2300,27.83602006607864,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP NTB], [3, SP], [4, DSP Conversão], [5, DSP Consideração]]",34,1569,19.074280007693467,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Conversão]]",33,1268,23.578623900300602,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Awareness], [3, DSP Conversão]]",33,712,11.009413308434748,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, DSP NTB], [3, DSP Conversão], [4, DSP Awareness], [5, SP]]",33,1010,13.740764360890795,1,189.7603,1,0.0303,0,93.8436,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SB], [3, DSP Conversão], [4, DSP Awareness], [5, SP]]",33,1446,12.952499697035357,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, SD], [3, DSP Awareness], [4, DSP NTB]]",33,2433,44.896506448778275,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, SP], [3, SB SOV], [4, DSP NTB], [5, DSP Awareness], [6, DSP Conversão]]",33,2230,18.647323946305455,1,125.3258,1,0.0303,1,67.3018,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, SD], [3, SB], [4, DSP NTB], [5, DSP Awareness], [6, DSP Conversão]]",32,2364,18.19690496120834,1,98.1403,1,0.0312,1,49.2288,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SP], [3, DSP Consideração], [4, DSP Awareness]]",32,1269,11.753809218664276,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Awareness]]",32,1044,4.700372688602309,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Awareness], [3, DSP Consideração]]",32,1463,8.30226620366494,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SP], [3, DSP Conversão], [4, DSP Awareness], [5, SB]]",32,1640,28.844275218457497,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SD]]",32,811,4.5549670040531725,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Conversão], [3, SB], [4, SD]]",32,1279,7.210851885498605,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP Conversão], [3, SD], [4, SB], [5, SP], [6, DSP NTB], [7, SB SOV]]",32,3172,19.659483582961254,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, DSP Awareness]]",31,474,8.625479264893958,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Consideração], [3, SD], [4, SB SOV], [5, DSP Conversão], [6, DSP Awareness], [7, SP], [8, DSP NTB]]",31,1290,14.216594987227554,2,224.5197,2,0.0645,1,141.0313,1,0.5,0.5,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SB], [3, SD]]",31,1660,13.122884550625793,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, DSP Awareness], [3, DSP NTB], [4, DSP Conversão], [5, DSP Consideração], [6, SB], [7, SP]]",31,1386,16.312249283857227,1,188.2446,1,0.0323,1,122.0528,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP NTB]]",31,1254,5.3572996679867355,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SP], [3, DSP Awareness], [4, SD], [5, SB], [6, DSP Consideração]]",31,1634,28.86857549053974,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SP], [3, SD], [4, DSP Conversão], [5, DSP Awareness]]",31,2752,40.54833848214036,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Conversão], [3, SD]]",31,830,5.508964163464476,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP NTB], [3, SD], [4, SB], [5, DSP Awareness], [6, DSP Consideração]]",31,1769,33.80667820376691,1,200.8504,1,0.0323,1,120.4685,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Awareness], [3, DSP NTB]]",31,765,9.845942858334933,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SP], [3, DSP Conversão]]",30,778,15.198124891810272,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP Awareness], [3, SD]]",30,1638,32.1282630515907,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Awareness], [3, SB], [4, DSP Conversão], [5, SD]]",30,728,4.990341042621616,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SB], [3, DSP NTB], [4, DSP Conversão]]",30,1237,5.2295906410757755,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Conversão], [3, SP], [4, DSP Awareness], [5, SD]]",30,981,6.805075450425771,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SP], [3, SB], [4, DSP Awareness], [5, DSP Conversão]]",30,1961,31.06114760231193,1,155.0393,1,0.0333,0,63.6508,0,0.0,0.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP NTB], [3, DSP Conversão]]",30,1291,8.508430043954741,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP NTB], [3, SB], [4, SP], [5, SD]]",30,1300,22.489874087791367,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SD], [3, DSP Conversão]]",29,503,8.528019212587044,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SP], [3, DSP Awareness], [4, SB]]",29,629,11.629463870490842,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SP], [3, DSP Consideração]]",29,1355,24.336013078495046,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SP], [3, SB], [4, DSP Conversão], [5, DSP Awareness], [6, SB SOV], [7, SD]]",29,3702,47.40053309138563,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SP]]",29,959,16.630381747278754,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Conversão], [3, DSP Awareness]]",29,1215,12.927473335996144,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SB], [3, DSP Awareness]]",29,1553,17.00365395380527,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, DSP Awareness], [3, SB], [4, SP], [5, DSP NTB], [6, DSP Conversão]]",29,2923,49.90613527090732,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, SD]]",29,1565,21.523660690269924,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, SP], [3, DSP Awareness], [4, DSP Conversão], [5, SD], [6, DSP NTB]]",29,1730,33.02415049179215,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SB], [3, SP]]",29,1035,17.725451950803354,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Conversão], [3, DSP Awareness], [4, DSP NTB], [5, DSP Consideração]]",29,1658,29.298325607636876,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Conversão], [3, SP]]",28,1433,24.176329134500456,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SP], [3, DSP Awareness]]",28,1539,8.308099664688042,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SD], [3, DSP Awareness]]",28,1502,30.009813806125866,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SB], [3, DSP Conversão]]",28,1334,14.662922616314543,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SB SOV], [3, DSP NTB], [4, DSP Conversão], [5, SP], [6, SB]]",28,1568,23.769023732369117,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SP], [3, DSP Awareness], [4, SB SOV]]",28,1435,27.206538421464224,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SP], [3, DSP Awareness], [4, SB]]",28,1507,19.62340433472338,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, DSP Consideração]]",28,932,3.8948376960055597,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SD], [3, SB SOV], [4, SP], [5, DSP Consideração], [6, DSP Awareness], [7, SB], [8, DSP NTB]]",28,4440,66.74323040608718,1,120.7180,1,0.0357,1,72.5253,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Conversão], [3, SP], [4, DSP Awareness], [5, SD]]",28,787,12.723178553939759,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, SB], [3, SP], [4, SD], [5, DSP Conversão]]",27,2508,13.430837852133187,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP Awareness]]",27,687,4.151013657430285,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP NTB]]",27,964,12.107429655445522,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SB]]",27,521,8.90826305830607,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, SP]]",27,1366,17.50879092640819,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, DSP NTB], [4, SD], [5, SP]]",27,907,15.64700558854387,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP Conversão], [3, SB], [4, SD], [5, SP]]",27,1051,10.487962066822673,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP Consideração], [3, SP]]",27,1420,18.22569428096243,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP Conversão], [3, DSP NTB]]",27,1190,20.77361377349677,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SB], [3, SP], [4, DSP NTB]]",27,1453,23.43798811794495,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, SD], [3, DSP Awareness], [4, SB SOV], [5, DSP Conversão], [6, SP], [7, DSP NTB], [8, SB]]",27,2225,35.05768844805555,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SP]]",26,802,12.084001852726246,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP Consideração], [3, DSP NTB], [4, SD], [5, SP], [6, DSP Conversão], [7, SB]]",26,1222,14.861249233040489,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, SP], [3, DSP NTB]]",26,859,11.657852229727602,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP Conversão], [3, SP]]",26,726,10.507185575698434,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, DSP Conversão], [3, SB], [4, SP], [5, DSP Awareness], [6, DSP NTB]]",26,1854,33.51887675334783,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP NTB], [3, SP]]",26,538,6.881743762352733,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SP], [3, DSP Awareness], [4, SD]]",26,859,4.676099723694628,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, SB], [3, DSP NTB], [4, DSP Conversão]]",25,1236,5.47863425691694,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, DSP Awareness], [3, SD], [4, DSP NTB]]",25,1597,28.40228470234634,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SB], [3, SD], [4, DSP Conversão], [5, DSP NTB], [6, SB SOV], [7, SP], [8, DSP Consideração]]",25,3096,48.777509634446176,1,153.1447,1,0.04,1,91.5872,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Conversão], [3, DSP NTB]]",25,730,14.363154457016991,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Conversão], [3, SB], [4, DSP Awareness], [5, DSP NTB]]",25,853,4.074464056840095,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SB SOV], [3, DSP Conversão], [4, SP], [5, SB], [6, DSP Awareness], [7, DSP NTB]]",25,806,4.289046832595567,1,182.4441,1,0.04,1,103.9922,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, SB], [3, DSP Awareness], [4, DSP Conversão]]",25,1655,21.991341769881906,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Conversão], [3, SD], [4, DSP Consideração], [5, SB SOV], [6, DSP NTB], [7, DSP Awareness], [8, SB]]",25,2306,11.774653841046845,1,123.0945,1,0.04,1,78.5413,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SD]]",24,653,6.348075219765489,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SB], [3, DSP Awareness], [4, DSP Conversão]]",24,956,18.95893855448191,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SP], [3, SB], [4, SD]]",24,1580,12.499570338457215,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP NTB]]",24,833,6.836017205875578,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, SD], [3, SB]]",24,667,9.671653538868005,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SB SOV], [3, SB], [4, SP], [5, DSP Awareness], [6, DSP NTB], [7, DSP Consideração], [8, DSP Conversão]]",24,3599,67.88880320894611,1,125.6412,1,0.0417,1,74.6053,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SP], [3, DSP Conversão], [4, DSP Awareness], [5, DSP NTB], [6, SB SOV], [7, DSP Consideração], [8, SB]]",24,2028,38.061406452222876,1,138.5203,1,0.0417,1,90.3426,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, DSP Awareness]]",24,339,6.228594896545872,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SB], [3, DSP NTB], [4, SP]]",24,1025,11.7170588873483,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SB], [3, DSP Awareness], [4, SB SOV]]",24,474,5.388686643295922,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, SB], [3, DSP Awareness], [4, DSP Conversão], [5, DSP NTB], [6, SP]]",24,2109,16.324970308921863,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SP], [3, DSP Awareness], [4, SB], [5, SD], [6, DSP NTB]]",24,1896,29.72550839767408,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP NTB], [3, SP], [4, SB]]",24,432,6.162023417884933,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SD], [3, DSP Conversão], [4, DSP Consideração], [5, SP], [6, DSP Awareness], [7, SB]]",24,2651,36.435421932427694,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Consideração], [3, DSP Conversão]]",24,928,13.617969525482117,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, SP]]",23,773,10.61640029349005,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, SB], [3, DSP Conversão], [4, DSP Awareness], [5, SP], [6, SD]]",23,1138,7.979726940511266,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, DSP Consideração]]",23,215,1.1378948880398017,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Conversão], [2, SB], [3, SP], [4, DSP Awareness], [5, DSP Consideração], [6, DSP NTB], [7, SD]]",23,3094,59.576601539481864,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Consideração], [2, SP], [3, DSP NTB], [4, DSP Conversão], [5, SB], [6, DSP Awareness], [7, SD]]",23,3089,42.3953323410446,1,157.9874,1,0.0435,1,100.1466,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, SD], [3, DSP Conversão]]",23,839,8.152485431632176,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, SD], [4, DSP Conversão]]",23,790,8.326523978377498,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP NTB], [2, DSP Awareness], [3, SP], [4, SB], [5, SB SOV]]",23,996,9.690061588913053,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SD], [2, DSP Awareness], [3, SP], [4, DSP Conversão], [5, DSP Consideração], [6, SB]]",23,1060,20.119021221493984,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, DSP Awareness], [2, SB], [3, SB SOV], [4, SP], [5, DSP NTB], [6, DSP Conversão], [7, SD]]",23,2424,25.064885979933194,1,196.4614,1,0.0435,1,112.8615,1,1.0,1.0,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, SD], [3, DSP Awareness], [4, DSP Conversão]]",23,1196,6.996000662930168,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SP], [2, DSP Awareness], [3, DSP Conversão], [4, SB], [5, DSP NTB]]",23,2249,41.86723248463851,0,0.0000,0,0.0,0,0.0000,0,,,,
Path to Conversion by Campaign Groups,2026-01-01,2026-03-31,"[[1, SB], [2, DSP Awareness], [3, DSP NTB], [4, DSP Consideração], [5, DSP Conversão], [6, SD], [7, SP]]",23,1558,30.126197951207025,1,167.3893,1,0.0435,1,104.0204,1,1.0,1.0,,
